dotsMOVE,19:03:03.2380032
stimOFF,19:03:04.2630144
r30,19:03:04.2647936
stimON,19:03:07.8832512
dotsMOVE,19:03:08.8878080
stimOFF,19:03:09.8878720
l40,19:03:09.8898432
stimON,19:03:13.6535936
dotsMOVE,19:03:14.6376192
stimOFF,19:03:15.6631680
l40,19:03:15.6644736
stimON,19:03:19.4881536
dotsMOVE,19:03:20.4873984
stimOFF,19:03:21.5123584
r30,19:03:21.5149824
stimON,19:03:25.1876480
dotsMOVE,19:03:26.1873152
stimOFF,19:03:27.2122368
r30,19:03:27.2148096
stimON,19:03:30.8720512
dotsMOVE,19:03:31.8620160
stimOFF,19:03:32.8870400
l40,19:03:32.8894336
stimON,19:03:36.5298176
dotsMOVE,19:03:37.5117824
stimOFF,19:03:38.5367168
l40,19:03:38.5381248
stimON,19:03:42.5252864
dotsMOVE,19:03:43.5116032
stimOFF,19:03:44.5365504
r30,19:03:44.5382144
stimON,19:03:48.4415488
dotsMOVE,19:03:49.4364032
stimOFF,19:03:50.4612864
l40,19:03:50.4624512
stimON,19:03:54.3733760
dotsMOVE,19:03:55.3611136
stimOFF,19:03:56.3861504
r30,19:03:56.3894912
stimON,19:03:59.9202560
dotsMOVE,19:04:00.9109248
stimOFF,19:04:01.9359104
r30,19:04:01.9371136
stimON,19:04:05.9285376
dotsMOVE,19:04:06.9107456
stimOFF,19:04:07.9357440
l40,19:04:07.9385216
stimON,19:04:11.8355584
dotsMOVE,19:04:12.8355840
stimOFF,19:04:13.8606336
r30,19:04:13.8640128
stimON,19:04:17.8213120
dotsMOVE,19:04:18.8103296
stimOFF,19:04:19.8352384
l40,19:04:19.8364928
stimON,19:04:23.4666752
dotsMOVE,19:04:24.4600832
stimOFF,19:04:25.4850560
l40,19:04:25.4862080
stimON,19:04:29.2566400
dotsMOVE,19:04:30.2599040
stimOFF,19:04:31.2598912
r30,19:04:31.2611456
stimON,19:04:35.1562624
dotsMOVE,19:04:36.1597568
stimOFF,19:04:37.1596416
r30,19:04:37.1614592
stimON,19:04:40.9397376
dotsMOVE,19:04:41.9344768
stimOFF,19:04:42.9594880
l40,19:04:42.9646464
stimON,19:04:46.5154304
dotsMOVE,19:04:47.5093760
stimOFF,19:04:48.5342720
r30,19:04:48.5364224
stimON,19:04:52.1366784
dotsMOVE,19:04:53.1341056
stimOFF,19:04:54.1591168
l40,19:04:54.1613056
stimON,19:04:57.8065280
dotsMOVE,19:04:58.8089472
stimOFF,19:04:59.8088704
r30,19:04:59.8103424
stimON,19:05:03.3723008
dotsMOVE,19:05:04.3588096
stimOFF,19:05:05.3836416
l40,19:05:05.3857152
stimON,19:05:08.9752960
dotsMOVE,19:05:09.9835776
stimOFF,19:05:10.9835648
r30,19:05:10.9859840
stimON,19:05:14.7491840
dotsMOVE,19:05:15.7333376
stimOFF,19:05:16.7582848
l40,19:05:16.7665792
stimON,19:05:20.4204672
dotsMOVE,19:05:21.4080640
stimOFF,19:05:22.4330240
l40,19:05:22.4352512
stimON,19:05:26.0713856
dotsMOVE,19:05:27.0579200
stimOFF,19:05:28.0829312
r30,19:05:28.0860160
stimON,19:05:31.9042688
dotsMOVE,19:05:32.9076992
stimOFF,19:05:33.9076480
l40,19:05:33.9092608
stimON,19:05:37.6361728
dotsMOVE,19:05:38.6324864
stimOFF,19:05:39.6575232
r30,19:05:39.6599936
stimON,19:05:43.4764672
dotsMOVE,19:05:44.4572672
stimOFF,19:05:45.4821760
r30,19:05:45.4837248
stimON,19:05:49.4858240
dotsMOVE,19:05:50.4820480
stimOFF,19:05:51.5069824
l40,19:05:51.5082752
stimON,19:05:55.4796544
dotsMOVE,19:05:56.4818304
stimOFF,19:05:57.4818432
r30,19:05:57.4834944
stimON,19:06:01.1881088
dotsMOVE,19:06:02.1816576
stimOFF,19:06:03.2065536
l40,19:06:03.2078592
stimON,19:06:06.9010560
dotsMOVE,19:06:07.8813952
stimOFF,19:06:08.9064320
l40,19:06:08.9088128
stimON,19:06:12.7712640
dotsMOVE,19:06:13.7562112
stimOFF,19:06:14.7812224
r30,19:06:14.7834368
stimON,19:06:18.3548160
dotsMOVE,19:06:19.3560448
stimOFF,19:06:20.3559296
l40,19:06:20.3571840
stimON,19:06:24.0872192
dotsMOVE,19:06:25.0808192
stimOFF,19:06:26.1057024
r30,19:06:26.1070464
stimON,19:06:29.9044096
dotsMOVE,19:06:30.9055872
stimOFF,19:06:31.9056000
l40,19:06:31.9068800
stimON,19:06:35.5344000
dotsMOVE,19:06:36.5304064
stimOFF,19:06:37.5553280
r30,19:06:37.5567488
stimON,19:06:41.3537792
dotsMOVE,19:06:42.3551744
stimOFF,19:06:43.3551744
r30,19:06:43.3571584
stimON,19:06:46.9761408
dotsMOVE,19:06:47.9799168
stimOFF,19:06:48.9799168
l40,19:06:48.9815552
stimON,19:06:53.0041216
dotsMOVE,19:06:54.0046976
stimOFF,19:06:55.0047616
l40,19:06:55.0061184
stimON,19:06:58.9139456
dotsMOVE,19:06:59.9045504
stimOFF,19:07:00.9295872
r30,19:07:00.9326592
stimON,19:07:04.4892416
dotsMOVE,19:07:05.4794496
stimOFF,19:07:06.5043584
l40,19:07:06.5061888
stimON,19:07:10.1029376
dotsMOVE,19:07:11.1041408
stimOFF,19:07:12.1040896
r30,19:07:12.1054464
stimON,19:07:16.0474752
dotsMOVE,19:07:17.0289408
stimOFF,19:07:18.0540928
r30,19:07:18.0571008
stimON,19:07:21.7690624
dotsMOVE,19:07:22.7788032
stimOFF,19:07:23.7787264
l40,19:07:23.7805568
stimON,19:07:27.3524608
dotsMOVE,19:07:28.3535104
stimOFF,19:07:29.3534848
l40,19:07:29.3548544
stimON,19:07:33.0328320
dotsMOVE,19:07:34.0283136
stimOFF,19:07:35.0532864
r30,19:07:35.0548864
stimON,19:07:38.6373888
dotsMOVE,19:07:39.6281984
stimOFF,19:07:40.6530688
r30,19:07:40.6541952
stimON,19:07:44.5752192
dotsMOVE,19:07:45.5778944
stimOFF,19:07:46.5778944
l40,19:07:46.5794304
stimON,19:07:50.5005952
dotsMOVE,19:07:51.5027072
stimOFF,19:07:52.5026816
r30,19:07:52.5040256
stimON,19:07:56.4154752
dotsMOVE,19:07:57.4025472
stimOFF,19:07:58.4274688
l40,19:07:58.4293120
stimON,19:08:02.1118208
dotsMOVE,19:08:03.1023488
stimOFF,19:08:04.1272960
r30,19:08:04.1311744
stimON,19:08:08.1513344
dotsMOVE,19:08:09.1520128
stimOFF,19:08:10.1770240
l40,19:08:10.1797888
